제품번호,물품대분류,상품명,물품판매량,제품단가
P100275,FMC,[2020년 3월 신제품] 크리넥스 안심 물티슈 캡형 60매,9,7333
P100276,FMC,[2020년 3월 신제품] 크리넥스 안심 물티슈 캡형 60매 (EA),24,6311
P100277,FMC,[2020년 3월 신제품] 크리넥스 안심 물티슈 휴대용 20매X3개입,28,8750
P100278,FMC,[2020년 3월 신제품] 크리넥스 안심 물티슈 휴대용 20매X3개입 (EA),64,4676
P100279,FMC,[대량발주] 택배파손_0102,1,30800
P100280,FMC,[사용완료] 크리넥스 KF94 데일리 방역 마스크 화이트 대형 17P,8,12900
P100281,FMC,[신규회원 한정특가] [1+1] 스카트 항균 프레쉬블루 행주타올 45매 X 4롤,61,24000
P100282,FMC,"[쿠폰적용가11,940원] 크리넥스 마이비데 캡형 42매 X 9팩 카카오프렌즈",12,21350
P100283,FMC,"[쿠폰적용가22,790원] 크리넥스 순수 3겹 소프트 27m-30롤 X 2",21,46124
P100284,FMC,"[쿠폰적용가25,490원] 크리넥스 데코앤소프트 클래식 27-30롤 X 2",16,38200
P100285,FMC,"[쿠폰적용가26,860원] 크리넥스 3겹 울트라클린 27m 30롤 X 2",4,39800
P100286,FMC,"[쿠폰적용가42,240원] 크리넥스 황사마스크 뉴디자인플러스 대형 3P X 16",3,64000
P100287,FMC,"[쿠폰적용가42,240원] 크리넥스 황사마스크 뉴디자인플러스 소형 3P X 16",1,64000
P100288,FMC,“스페인하숙에 나온 바로 그 행주” 스카트 항균 3겹 위생행주 20매,42,8203
