순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
2,D088,냉동밥 내포장#1,2025-11-09,4:00,5:38,98,W0054F1,품목 교체,1BA03075,CJ새우볶음밥3kg,충전실
1,D087,냉동밥 내포장#2,2025-11-13,8:12,9:55,103,W0054F1,품목 교체,1BA03366,NEW비비고새우볶음밥(홈플),충전실
15,D087,냉동밥 내포장#2,2025-11-20,21:58,0:02,124,W0054F2,세부 세척,1BA03365,NEW비비고새우볶음밥210g(알밥),충전실
1,D088,냉동밥 내포장#1,2025-11-20,1:03,1:40,37,W0054F1,품목 교체,1BA03119,홍익돈까스 야채볶음밥,충전실
4,D088,냉동밥 내포장#1,2025-11-20,7:09,7:48,39,W005722,공정,1BA03376,시아스야채볶음밥1kg,충전실
5,C088,냉동밥 취반#1,2025-11-22,1:20,2:10,50,W0034B1,품목 교체,2BA03066,CJ새우볶음밥(재),쿠킹실
15,D087,냉동밥 내포장#2,2025-11-24,11:01,12:26,85,W0054F1,품목 교체,1BA03158,비비고불고기비빔밥200g,충전실
5,D088,냉동밥 내포장#1,2025-11-23,13:05,14:18,73,W0054F1,품목 교체,1BA03049,김치볶음밥-S,충전실
10,D088,냉동밥 내포장#1,2025-11-23,23:28,0:12,44,W005722,공정,1BA03378,매콤낙지볶음밥(노브랜드)/7개입,충전실
3,D087,냉동밥 내포장#2,2025-11-27,7:33,8:48,75,W0054F1,품목 교체,1BA03157,비비고낙지비빔밥200g,충전실
2,C088,냉동밥 취반#1,2025-11-28,0:30,1:30,60,W0034B1,품목 교체,2BA03047,시아스야채볶음밥3kg(재),쿠킹실
7,D088,냉동밥 내포장#1,2025-11-29,14:12,15:49,97,W0054F1,품목 교체,1BA03395,오양김치볶음밥,충전실
3,D087,냉동밥 내포장#2,2025-11-30,4:32,6:15,103,W0054F2,세부 세척,1BA03366,NEW비비고새우볶음밥(홈플),충전실
11,D088,냉동밥 내포장#1,2025-12-06,1:58,4:07,129,W0054F1,품목 교체,1BA03093,비비고취나물밥200g,충전실
9,D087,냉동밥 내포장#2,2025-12-07,23:31,0:06,35,W0054F2,세부 세척,1BA03213,AAF불곱창깍두기볶음밥250g(알밥)*,충전실
2,D087,냉동밥 내포장#2,2025-12-12,11:32,13:27,115,W0054F1,품목 교체,1BA03393,오양새우볶음밥,충전실
6,C088,냉동밥 취반#1,2025-12-15,23:20,0:20,60,W0034B1,품목 교체,2BA03285,콩콩푸드밥5kg(재),쿠킹실
4,D088,냉동밥 내포장#1,2025-12-15,19:27,20:00,33,W0054F1,품목 교체,1BA03049,김치볶음밥-S,충전실
10,C088,냉동밥 취반#1,2025-12-19,22:10,23:10,60,W0034B1,품목 교체,2BA03284,곤드레나물밥H5kg(재),쿠킹실
2,D088,냉동밥 내포장#1,2025-12-20,10:00,10:37,37,W0054F1,품목 교체,1BA03074,CJ햄야채볶음밥3kg,충전실
8,D088,냉동밥 내포장#1,2025-12-20,17:58,19:37,99,W0054F1,품목 교체,1BA03389,게살볶음밥E,충전실
13,D087,냉동밥 내포장#2,2025-12-22,1:48,2:15,27,W005722,공정,1BA03300,쟌슨빌소시지볶음밥(알밥),충전실
18,D088,냉동밥 내포장#1,2025-12-23,23:59,1:00,-1379,W005722,공정,1BA03281,취나물현미밥5kg,충전실
6,D087,냉동밥 내포장#2,2025-01-23,12:59,14:00,61,W0054F2,세부 세척,1BA03158,비비고불고기비빔밥200g,충전실
8,D087,냉동밥 내포장#2,2025-01-23,14:00,14:17,17,W005722,공정,1BA03158,비비고불고기비빔밥200g,충전실
1,D088,냉동밥 내포장#1,2025-02-09,6:55,8:32,97,W005722,공정,1BA03049,김치볶음밥-S,충전실
10,D088,냉동밥 내포장#1,2025-02-09,17:35,18:35,60,W005722,공정,1BA03159,비비고깍두기볶음밥200g,충전실
8,D088,냉동밥 내포장#1,2025-02-12,14:06,15:46,100,W005722,공정,1BA03389,게살볶음밥E,충전실
11,D088,냉동밥 내포장#1,2025-02-19,23:38,0:20,42,W0054F2,세부 세척,1BA03389,게살볶음밥E,충전실
9,D087,냉동밥 내포장#2,2025-02-20,16:13,17:20,67,W0054F2,세부 세척,1BA03158,비비고불고기비빔밥200g,충전실
1,D088,냉동밥 내포장#1,2025-02-20,6:30,7:20,50,W0054F2,세부 세척,1BA03389,게살볶음밥E,충전실
7,D088,냉동밥 내포장#1,2025-02-20,13:40,14:40,60,W005722,공정,1BA03389,게살볶음밥E,충전실
1,D088,냉동밥 내포장#1,2025-02-21,1:22,2:00,38,W0054F1,품목 교체,1BA10044,팔도비빔밥-진짜짜장,충전실
7,D088,냉동밥 내포장#1,2025-02-23,20:42,23:26,164,W0054F1,품목 교체,1BA03281,취나물현미밥5kg,충전실
8,D088,냉동밥 내포장#1,2025-02-23,23:27,0:44,77,W005722,공정,1BA03281,취나물현미밥5kg,충전실
